model,dataset,experiment_name,perturbation,dose,DEGs,r2mean,r2mean_top20,r2mean_top100,r2mean_all_boostrap_mean,r2mean_top20_boostrap_mean,r2mean_top100_boostrap_mean,cell_type_test,average_mean_expressed_diff,average_fractions_diff,average_mean_degs20_diff,average_mean_degs100_diff,edistance,wasserstein,euclidean,mean_pairwise,mmd
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.03,0,0.986,0.986,0.988,0.9863658758585824,0.9868529455345304,0.9840567960167564,Hepatocytes - central,0.8880541,0.6461671362287348,0.34490263,0.44684783,0.7743657170371466,0.9924104681930592,0.87998074,0.9089741,0.7743653606799858
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.1,0,0.945,0.927,0.922,0.941392878948078,0.7711844076557905,0.8734896327368052,Portal Fibroblasts,0.87451255,0.7236225396825398,0.80613315,0.84430236,1.320117946765499,1.0397688007334671,1.1489638,1.0162617,1.3201179376220793
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.3,2,0.951,0.976,0.972,0.94321832944574,0.9888237834070632,0.9745830974192524,Portal Fibroblasts,0.8495003,0.6780731974486967,0.8038076,0.8620181,8.835635585143145,1.2509464888262858,2.9724793,1.1065837,8.83563554197162
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.3,6,0.992,0.994,0.996,0.992100935214513,0.996267001705928,0.9910077807953754,Hepatocytes - portal,0.92355114,0.684028211239518,0.4574108,0.6124928,0.7487728525503996,1.4658342079057465,0.865316,1.0744382,0.7487733585693092
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.01,1,0.984,0.988,0.982,0.9848794474744328,0.9846632095558564,0.9874498106451024,Hepatocytes - portal,0.9044045,0.6588812351688421,0.35223654,0.5063552,3.527474443152652,1.3152221215893112,1.8781568,0.9966319,3.527471983140912
ScGenPipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.1,8,0.992,0.992,0.972,0.9920130595157332,0.978767439860812,0.9916734420989451,Hepatocytes - portal,0.91256636,0.666138191078729,0.47284722,0.5601594,0.8384911957218405,1.251309962991138,0.9156906,1.0325143,0.8384905759209405
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.1,0,0.984,0.982,0.98,0.9835093002999892,0.9815932667765438,0.975776463930828,Endothelial Cells,0.9122351,0.7328977519365709,0.63286674,0.692921,2.2865603286519613,1.050781821562814,1.5121372,1.0037198,2.286560550383213
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,1.0,1,0.988,0.98,0.988,0.986813971220165,0.9845707949464052,0.9752796846596816,Stellate Cells,0.88187504,0.7228814765973182,0.5342837,0.70268846,0.7723951704326534,0.9807812407259114,0.8788603,0.9784144,0.7723952490463213
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.1,2,0.958,0.966,0.976,0.9549083485135772,0.9127582022010148,0.9555781330749156,Portal Fibroblasts,0.86653954,0.7113439348638547,0.81316316,0.8536367,4.21911463902124,1.083115499922249,2.0540483,1.0316133,4.219114655525658
VidrSinglePipeline,NaultSinglePipeline_NaultLiverTissuePipeline,,tcdd,0.1,1,0.988,0.986,0.955,0.9885204786927284,0.9504626433103084,0.9843774773014132,Hepatocytes - central,0.9033428,0.6542348075208548,0.5842977,0.51900333,1.1323084384013484,1.2099564167020338,1.0640999,0.99900615,1.1323081853641308
